Artist,Title,Grammar,Vocabulary,Culture,Country,Other,,,,,,
Calle 13,El Aguante,,AGUANTAR !!!,,Puerto Rico,https://www.youtube.com/watch?v=RleII4X_qQs,,,,,,
Calle 13,La Vuelta al mundo,yo present indicative,,,Puerto Rico,http://www.youtube.com/watch?v=v_zZmsFZDaM&feature=player_embedded,,,,,,
Calle 13,Latinoamérica,,,,Puerto Rico,http://www.youtube.com/watch?v=DkFJE8ZdeG8&feature=youtu.be,,,,,,
Calle 13,Multi Viral,,interview https://www.youtube.com/watch?v=AqEcRSzC1nw,"social movement, protest, political expression, rebellion, unity",Puerto Rico,https://www.youtube.com/watch?v=EjSCy1GC6Sc  ; ,,,,,,
Calle 13,Multi_Viral,,social activism,lyrics in Spanish/Arabic  http://www.latintimes.com/what-do-lyrics-calle-13-and-wikileaks-multi-viral-mean-english-listen-song-and-read-translation-here,Puerto Rico,https://www.youtube.com/watch?v=ooDf1hCJZOc,,,,,,
Calle 13,Pal'Norte,,,immigration,Puerto Rico,"with Orishas, http://www.youtube.com/watch?v=SBYO1ZfxxSM",,,,,,
Calle 13 ft. Rubén Blades,La Perla,,,pride in Puerto Rico; San Juan,Puerto Rico,http://www.youtube.com/watch?v=B0cVKmkYamU,,,,,,
Calle 13 with Café Tacuba,No hay nadie como tú,,adjectives ,"types of people, descriptions, reference to drugs, prostitutes",Puerto Rico/México,http://www.youtube.com/watch?v=t0DeJ5HeG8o,,,,,,
Camila,Aléjate de mí,"direct, indirect, reflexive pronouns",,,Mexico,http://www.youtube.com/watch?v=KstbkZwnTv0&feature=avmsc2,,,,,,
Camila,Bésame,affirmative familiar commands,,,México,http://www.youtube.com/watch?v=zQGchj18y14,,,,,,
Camila,Coleccionista de canciones,"familiar commands, querer que +subjunctive",,,México,http://www.youtube.com/watch?v=jlySoaI0DGI&feature=related,,,,,,
Camila,De mí,preterite,"geography, nature","Maya, Toltec; spectacular cinematography",México,http://www.youtube.com/watch?v=wxoKS5cmEZU,,,,,,
Camila,De que me sirve la vida,,,"positive message about various discriminations; tolerance, acceptance",México,http://www.youtube.com/watch?v=WuZOjUyGEZE&feature=player_embedded,,,,,,
Camila,Entre tus alas Spanish only,,,,México,http://www.youtube.com/watch?v=2fAh8VYGQY0,,,,,,
Camila,Mientes,preterite,mentir,,Mexico,http://www.youtube.com/watch?v=xftFxCYQTdk&feature=avmsc2,,,,,,
Camila,Solo para ti,para ,,,México,http://www.youtube.com/watch?v=A5oLKJuGrxU&feature=related,,,,,,
Camila,Solo para ti,present indicative,has llegado,,Mexico,http://www.youtube.com/watch?v=ENDhYJLxvkM,,,,,,
Camila,Todo cambió,preterite,,,Mexico,http://www.youtube.com/watch?v=gO8-9OWzPOQ,,,,,,
Camila y Colbie Caillat,Entre tus alas,,,"Spanish, English","México, U.S.",http://www.youtube.com/watch?v=onNT2gPG88E&feature=related ; ,,,,,,
Canticuenticos,Cumbia del monstruo,,body parts,,Argentina?,https://www.youtube.com/watch?feature=player_embedded&v=eFdUXU9ZGls,,,,,,
"Cantú, Patty",Goma de mascar,AR preterite,,,México,http://www.youtube.com/watch?v=5iQw_0vgB3M&ob=av2n,,,,,,
"Cantu, Paty",Dicen por ahi (Gossip Girl Acapulco),,,,México,http://www.youtube.com/watch?v=eK0OWNfUEdw,,,,,,
"Cantú, Paty",Suerte,multiple tenses,,,México,http://www.youtube.com/watch?v=Nsq7nPWzVJE&feature=player_embedded,,,,,,
Caramelos de Cianuro,La Casa,present perfect,casa/hogar,"adjectives, description",Venezuela,http://www.youtube.com/watch?v=lt2duo6XnE4,,,,,,
"Carina, Anna",Ya fue demasiado,"familiar commands, preterite",,,Perú,http://www.youtube.com/watch?v=Ockgs1N-QKo,,,,,,
"Carmona, Antonio",Para que tú no llores,"present subjunctive, future, preterite",love,,Spain,"duet with Alejandro Sanz,  http://www.youtube.com/watch?v=VH66acLpd3k",,,,,,
"Carrasco, Manuel",Y ahora,"present subjunctive, familiar commands",,,Spain (Andalucia),"different ""Spanish"" with the dropping of the ""s""",,,,,,
"Carrasco, Menny",Te prefiero perdonar,infinitives,"olvidar, odiar, abandonat, enganchar",,México,https://www.youtube.com/watch?v=jfWnXpr0rbU,,,,,,
Catupecu Machu,Metrópolis Nueva,,,"choices, life",Argentina,http://www.youtube.com/watch?v=8WnQZnE6H5o,,,,,,
"Cavero, Arturo",Asi es mi Peru ,,,,Perú,http://www.youtube.com/watch?v=_zYEc5TpUgU      http://www.youtube.com/watch?v=-NbYskzee-M,,,,,,
Celtas Cortos,El emigrante,,,Immigration,Spain,https://www.youtube.com/watch?v=WKZnS4PkiiU,,,,,,
"Cepeda, André",Lo mejor que hay en mi vida,,,,Colombia,https://www.youtube.com/watch?v=hLwh4r3vb60,,,http://www.youtube.com/watch?v=R21d66HYGPw,,,
"Cepeda, Andrés",El mensaje,"present indicative, present subjunctive",,,Colombia,https://www.youtube.com/watch?v=W_SC9-sHjmc,,,,,,
"Cepeda, Andrés",Me voy,"present indicative, present subjunctive",irse,,Colombia,https://www.youtube.com/watch?v=bN6zvApFnuc,,,,,,
"Cepeda, Andrés",Un ratito,,,,Colombia,https://www.youtube.com/watch?v=pKUZnR1REjw ; ,,,,,,
"Cerati, Gustavo",El Mareo,"present indicative, infinitives",nature,,Argentina,with BajoFondo http://www.youtube.com/watch?v=0O2QQ3NMa54,,,,,,
Chambao,Papeles Mojados,,,Immigration,Spain,http://www.youtube.com/watch?v=Ad58oDZ4i_0,,,,,,
Chambao,Papeles mojados,,,Immigration,Spain,https://www.youtube.com/watch?v=Oj8aNCtTHW4,,,,,,
"Chando, Dactah",Escribirte la cancion,object pronouns; reflexives,,,Spain,http://www.youtube.com/watch?feature=player_embedded&v=Brz0xvuXCGc,,,,,,
"Chao, Manu",Kusturica Maradona; La Vida es una Tómbola,"si, then  past subjunctive, conditional",,"soccer, Marandona",,http://www.youtube.com/watch?v=tt4P_iAjA_A&feature=player_embedded   ; http://www.youtube.com/watch?v=Oj8aNCtTHW4,,,,,,
"Chao, Manu",Me gustas tú,me gusta,,marijuana reference,Spain,http://www.youtube.com/watch?v=mzgjiPBCsss;http://www.youtube.com/watch?v=5brvADmy6B8&feature=player_embedded#! ,,,,,,
"Chao, Manú",Clandestino,,,Immigration,Spain,http://www.youtube.com/watch?v=0TamvrMZl4g;  http://www.youtube.com/watch?v=5JGTgUqxj9w,,,,,,
"Chavez, Christian",En dónde estás,"imperfect, present indicative, subjunctive",,,Méxocp,http://www.youtube.com/watch?v=sISyuR3y4k8&feature=channel,,,,,,
"Chavez, Gina",Miles de Millas,me/te over and over,te extraño,English/Spanish,U.S.,http://www.youtube.com/watch?feature=player_embedded&v=7PQ3gBLTHJ0#at=62,,,,,,
Chayanne,Torero,present subjunctive ,,,Puerto Rico,"irregular verbs saber, venir, estar",,,,,,
Cheetah Girls,"A la Nanita, Nana",,,,Spain,http://www.youtube.com/watch?v=ovS4C9LPNQ0,,,,,,
Chelo,Cha Cha,spanglish,spanglish,,Puerto Rico,http://www.youtube.com/watch?v=8M9XpeYW4RU,,,,,,
Chelo,Cha Cha Cha,,,English/Spanish,Puerto Rico,http://www.youtube.com/watch?v=8M9XpeYW4RU,,,,,,
Children's song,A mi burro,doler,"parts of the body, enfermo",,,http://www.youtube.com/watch?feature=player_embedded&v=vIpQK0CeH0U#!,,,,,,
Children's song,Buenos días,,"greetings, usted",children's song,,http://www.youtube.com/watch?v=J88kvyuTwpU,,,,,,
Children's song,Canta juegos….piececitos,"digo si, digo no",parts of the body,children's song,Spain,http://www.youtube.com/watch?v=P8wSeK8v3V0,,,,,,
Children's song,Cinco Calabazas,,"numbers, calabaza, fall",,,http://www.youtube.com/watch?v=maAbEpomWz8&feature=player_embedded,,,,,,
Children's song,Cinco lobitos,,"nature, animals, growing",,,http://www.guiainfantil.com/servicios/musica/Canciones/cinco_lobitos.htm,,,,,,
Children's song,Days of the week,,days of the week,,,http://www.youtube.com/watch?v=s5WHgkjL3kE&feature=player_embedded,,,,,,
Children's song,De Colores,,,traditional folksong,México,http://www.youtube.com/watch?v=K9uQRJARJuc&feature=related,,,,,,
Children's song,De Colores,,,"very nice, colorful video",México,http://www.youtube.com/watch?v=5sLQbOOUY4g&feature=related,,,,,,
Children's song,Debajo un botón,"preterite, imperfect",,,,http://www.youtube.com/watch?v=gtNK6gmaP18&feature=youtu.be,,,,,,
Children's song,El lobito bueno,imperfect,lobo,"José Agustín Goytisolo, a poet from Spain",Spain/ México,http://www.youtube.com/watch?v=-7iN7PH6ADo&feature=player_embedded  ; http://www.youtube.com/watch?v=smYxkdFqiIw&feature=player_embedded,,,,,,
Children's song,En la finca de Tío Ramón,,animals & sounds,,Colombia,https://www.youtube.com/watch?v=85mtA-weh8U&feature=player_embedded#at=14,,,,,,
Children's song,En la granja de mi tío,,animals & sounds,,,https://www.youtube.com/watch?v=MNA56nXD2Ac&feature=related,,,,,,
Children's song,"Estrellita, Estrellita",,,children's song,Spain,http://www.youtube.com/watch?v=2U_HrKmS82k,,,,,,
Children's song,"Estrellita, Estrellita",,,"children's song; Barney Twinkle, Twinkle",U.S.,http://www.youtube.com/watch?v=pyUKWhkCxQY,,,,,,
Children's song,Fast food Folk song Taco Bell,,fast food,fast food folk Taco Bell,,http://www.youtube.com/watch?v=-uwY3sjqYX0&feature=player_embedded,,,,,,
Children's song,Hojas Hojas,,"colors, fall, hojas",,,http://www.youtube.com/watch?v=BuyvnSoxnGY&feature=player_embedded#!,,,,,,
Children's song,La familia,se va,family,children's song,Spain,http://www.youtube.com/watch?v=c89nmoBd9Qk,,,,,,
Children's song,Las vocales,,spanish vowels,,,http://www.youtube.com/watch?v=Asvc8tOlnfg&feature=related,,,,,,
Children's song,Los Animales Adivina,,animals,,,http://www.youtube.com/watch?v=bSDd5ZMTGFE,,,,,,
Children's song,"Manos, cabeza, pies  by Juanes",,parts of the body,"on Sesame Street 2011, English/Spanish",Colombia,http://www.youtube.com/watch?v=_CzCJgsLoHI&feature=player_embedded#!,,,,,,
Children's song,Mientras el lobo no está,poniéndome,"clothing, lobo",children's song,México,http://www.youtube.com/watch?v=YWi4C_CCkjw; kids playing: http://www.youtube.com/watch?v=9NAZfM9mglM; animated: http://www.youtube.com/watch?v=vbJS4T8P4kc,,,,,,
Children's song,Parts of the Body Sesame Street,,parts of the body,,U.S.,http://www.youtube.com/watch?v=ra7JjReOM_M&feature=player_embedded#!,,,,,,
Children's song,"Que llueva, llueva","subjunctive, caer,llover, seguir",nature ,children's song,Spain,http://www.youtube.com/watch?v=UcDkraF41AA,,,,,,
Children's song,Señora Vaca,object pronouns  nos da la leche,"leche,","leche, dairy",,http://www.youtube.com/watch?v=-xNNqmIYJ1c,,,,,,
Children's song,Sol solecito luna lunera,,"sun,moon, animals, utensils",,,http://www.youtube.com/watch?v=DI4_aM8N2dA,,,,,,
Children's song,Un elefante se balanceaba,,,,,https://www.youtube.com/watch?feature=player_embedded&v=ZkEuxLfwl4E,,,,,,
Children's song,Y el pasto crecía alrededor,había,adjective agreement,"children's song, The Green Grass grows all around",Spain,http://www.youtube.com/watch?v=QIM6q5Tv2pM&feature=player_embedded,,,,,,
Children's song,Yo me lavo las manos,me lavo,"jabón, manos",children's song,México,http://www.youtube.com/watch?v=XDcKtp09ybA&feature=player_embedded,,,,,,
Children's song,Yo me muevo,ser + noun,"delante, atras, directional words",children's song,Spain,http://www.youtube.com/watch?v=FYhR0UH7IME,,,,,,
Children's song ,A lavarse los dientes,reflexives,"dientes, lavarse",,,http://www.youtube.com/watch?v=bmhF_u-kReM&feature=channel,,,,,,
"Children's song, Adriana?",A jugar con los colores,,colors ,,,http://www.youtube.com/watch?v=xHX9LjiDGoA&feature=related,,,,,,
"Children's song, Doki",Canción de despedida,,farewells:  a huge list,,,http://www.youtube.com/watch?v=oyGEW-deOsk&feature=player_embedded#!,,,,,,
"Children's song, Doki",Descubre el desayuno,,"food, breakfast",,,http://www.youtube.com/watch?v=2lreDSJSZEE&feature=related,,,,,,
"Children's song, Los lunnis",Al cole con los lunnis,,daily routine,back to school,Spain,http://www.youtube.com/watch?v=LlQcqub-R5Q&feature=related,,,,,,
"Children's song, los lunnis",Dame tu mano,affirmative commands,body,"los lunnis, vacation",Spain,http://www.youtube.com/watch?v=45AnOVb4sTs&feature=related,,,,,,
"Children's song, Los lunnis",Nos vamos a la cama,reflexive,farewells ,Los lunnis,Spain,http://www.youtube.com/watch?v=T7TZoezqHF0&feature=player_embedded,,,,,,
"Children's song, Los lunnisAprende inglés con los lunnis",,,greetings,,Spain,http://www.youtube.com/watch?v=L6gDxf8iC6s&feature=channel,,,,,,
Children's videos,Rap de las letras,,alphabet,,,http://www.youtube.com/watch?feature=player_embedded&v=guTVDRv92Ro#!,,,,,,
Chingón,Fideo del oeste,,,,México,http://www.youtube.com/watch?v=XOSv88NzxU0&feature=related,,,,,,
Chingón,Malagueña Salerosa,,"cejas, ojos","traditional classic song ""rockified""; from movie Kill Bill 2",México,http://www.youtube.com/watch?v=6I3tH6tUr8s,,,,,,
Chino y Nacho,Boleto de amor,,"boleto, pasajero, destino, viaje",,venezuela,http://www.youtube.com/watch?v=LrWX9f1NnQQ&feature=related,,,,,,
Chino y Nacho,El Poeta,present/past subjunctive,feliz,,Venezuela,http://www.youtube.com/watch?v=NudmLhxEx_s  ;      http://www.youtube.com/watch?v=NwPtdUjTPSA,,,,,,
Chino y Nacho,Me mata me mata,"commands,","love, tantos tantas",,Panamá,http://www.youtube.com/watch?v=SmNZ_VEtafU,,,,,,
Chino y Nacho,Mi Chica Ideal,preterite,,,Venezuela,https://www.youtube.com/watch?v=xQd7lUtTBQg,,,,,,
Chino y Nacho,Mi niña bonita,present indicative,love,,Panamá,"a favorite of my classes; http://www.youtube.com/watch?v=Oe1fRwgGu5E was another U.S. version, but no longer available",,,,,,
Chino y Nacho,Que se apagó la llama,many tenses,,,Panamá,http://www.youtube.com/watch?v=MxPMvBPF020,,,,,,
Chino y Nacho,Regalame un muack,,,,Venezuela,http://www.youtube.com/watch?v=5FwLSaBNahU&feature=player_embedded,,,,,,
Chino y Nacho,Sin ti,present indicative; present progressive; conditional,,,Venezuela,http://www.youtube.com/watch?feature=player_embedded&v=5cw0ZWkGyg8,,,,,,
Chino y Nacho,Tu Angelito,,,,Panamá,http://www.youtube.com/watch?v=xkhMyzWAgVY,,,,,,
Chino y Nacho con Fainal,Dame un besito,,,,"Venezuela, Colombia",http://www.youtube.com/watch?v=fnkAqfgO0Ik,,,,,,
Chino y Nacho con Marilanne,Sé que esta noche será,será,,,Venezuela,http://www.youtube.com/watch?feature=player_embedded&v=jGK3pon2QmY,,,,,,
Chino y Nacho with Ana  Isabelle,La Vida es Bella,,"nature (nubes, estrellas, brisa, etc.)","positive message, video slightly inappropriate","Venezuela, Puerto Rico",http://www.youtube.com/watch?v=M3H8B2MIJ50,,,,,,
"Chino y Nacho, El Potro Alvarez",Bla Bla Bla,,,some good images of Venezuela; parts of video inappropriate for high school,Venezuela,http://www.youtube.com/watch?v=rmz6e6Qrsn4&feature=related,,,,,,
Chocquibtown,De donde vengo yo,present indicative,,culture,Colombia,http://www.youtube.com/watch?v=yb_jD--Yfp4,,,,,,
Chocquibtown,Somos pacífico,,"unidos, la raza, slang","the people of Colombia, culture",Colombia,http://www.youtube.com/watch?v=reB4YLs-49U,,,,,,
Choquibtown,Oro,"sin, con; participles",ladrón,"human rights, issues of race",Colombia,http://www.youtube.com/watch?v=lQZZ_gp8dos&feature=player_embedded,,,,,,
Cienfue,El cuco,,,Legends,Panamá,http://www.youtube.com/watch?v=lhrQomdrLsk,,,,,,
Circo y los Persas,Me gusta,me gusta,,,Argentina,https://www.youtube.com/watch?v=f2YwQ9AGFd8,,,,,,
Color Humano,Una Sonrisa por delante,,,,Spain,http://www.youtube.com/watch?feature=player_embedded&v=IiLS399HqAc#!,,,,,,
Comida ,Para Crecer Debemos Comer,,food vocabulary,,,http://www.youtube.com/watch?v=vZq5aNISobs&feature=player_embedded,,,,,,
Comida Puertorriqueña,Comida Puertorriqueña,,,great images of food from Puerto Rico,Puerto Rico,http://www.youtube.com/watch?v=jobyl_pmkxk,,,,,,
Company Segundo,La Negra Tomasa,,,,Cuba,http://www.youtube.com/watch?v=9APPCQpquds,,,,,,
"Contreras, Sergio",Princesa de mi cuento,,,silly video but probably fun for high school,,http://www.youtube.com/watch?v=ENvJQEIoxOs,,,,,,
"Correy, David &Cantu, Paty & Wisin",La Copa de Todos,,"soccer, suenos, lograr,",Copa Mundial 2014,México,https://www.youtube.com/watch?v=_0GA4ONSEZY,,,,,,
Coti,¿Dónde está corazón?,preterite/imperfect,pret/imp saber,,Argentina,http://www.youtube.com/watch?v=s0Ko0uWNlOw&feature=branded,,,,,,
Coti,Nada fue un error,preterite,,,Argentina,http://www.youtube.com/watch?v=t63Pu2k66gY&feature=related,,,,,,
Coti,Solamente vos,sos,vos,,Argentina,http://vimeo.com/60569454,,,,,,
"Coti y Iglesias, Enrique",¿Dónde estás corazón?,"preterite, imperfect",,,"Argentina, Spain",http://www.youtube.com/watch?v=q4ivGvztvbw&feature=related,,,,,,
"Crespo, Elvis",No soy un monstruo,,,bullying,Puerto Rico,http://www.youtube.com/watch?v=n6kxu5dVLn0&feature=player_embedded,,,,,,
"Crespo, Elvis",Píntame,,,merengue,Puerto Rico,http://www.youtube.com/watch?v=hBhIA8lDi2c,,,,,,
"Crespo, Elvis",Suavemente,,,merengue,Puerto Rico,From Dirty Dancing:  http://www.youtube.com/watch?v=kbZQa-bzLhU; http://www.youtube.com/watch?v=WPiEbYSF9kE,,,,,,
"Crespo, Elvis",Tu sonrisa,,,merengue,Puerto Rico,http://www.youtube.com/watch?v=3CqNeJLqvL0,,,,,,
"Crespo, Elvis with Zona D'Tambora",15 Inviernos,,,,Puerto Rico,http://www.youtube.com/watch?v=gI-Xp5SbKs0,,,,,,
"Cruz, Celia",Bamboleo,,,,Cuba,http://www.youtube.com/watch?v=CJAz9-UnDz4&feature=related,,,,,,
"Cruz, Celia",Cuando salí de Cuba,,,,Cuba,http://www.youtube.com/watch?v=_TohAFT7LFE,,,,,,
"Cruz, Celia",Guantanemera,,,,Cuba,http://www.youtube.com/watch?v=Js0rKmv-0Iw&feature=related,,,,,,
"Cruz, Oscar",El Hombre del Piano,,,"TV show  La Voz México,  Billy Joel's Piano Man in Spanish",Mexico,http://www.youtube.com/watch?NR=1&v=0Dw3vNIM4gs,,,,,,
"Cruz, Yunel",Dominicanita,diminutives,,"Washington Heights, bachata, ","Domincan Republic, U.S.",http://www.youtube.com/watch?v=VDJsh0ieMa0,,,,,,
Cruzito,When I was your man,,Honduras/Canada,"Spanish cover of the Bruno Mars song, with lyrics",,http://www.youtube.com/watch?v=o9R82L4usbQ,,,,,,
Cuba,Todo el mundo es música,,,"series of 6 videos for music in Argentina, Cuba, Mexico, Honduras, Peru",Cuba,http://www.rtve.es/alacarta/videos/todo-el-mundo-es-musica/,,,,,,
"Cuevas, Beto",Dejé de pensar,preterite,,lyric video,Chile,https://www.youtube.com/watch?feature=player_embedded&v=XO6BIk1lFzY,,,,,,
"Cuevas, Beto",Háblame,"familiar commands, present subjunctive",aunque,,Chile,http://www.youtube.com/watch?v=n4fDuCOa0jg&feature=related,,,,,,
"Cuevas, Beto",Un minuto de silencio,"object pronouns, interrogatives, stem changing verbs",,,Chile,http://www.youtube.com/watch?v=A6Ga3JU_L8I&feature=player_embedded;  http://www.youtube.com/watch?v=n4fDuCOa0jg ;  http://www.youtube.com/watch?v=WHuAKBru8pE&NR=1&feature=fvwp,,,,,,
"Cuevas, Beto  La Ley",Mentira,,,,Chile,http://www.youtube.com/watch?v=d1dcXgGQT2M&feature=fvwrel,,,,,,
"Cumbe, Felix",El inmigrante,,,Immigration,Dominican Republic,https://www.youtube.com/watch?v=57lT_KZ4Cg0,,,,,,
Cup Game Juego de vasos,Escatumbararibe,,,"game; originally from Brazil, spanish lyrics here: http://www.spanishplayground.net/escatumbararibe-clapping-game-with-cups/",,http://www.youtube.com/watch?v=aRexD4Qzuho&feature=youtu.be,,,,,,
"Cypress Hill, PitBull, Marc Anthony",Armada Latina,,,cultural images; does contain profanity in verses,U.S. ,http://www.youtube.com/watch?v=2jPPEBR00LQ,,,,,,
"Da Vita, Franco with Guzman, Alejandra",Tan Sólo Tú,future,,,"Venezuela, México",http://www.youtube.com/watch?v=HfOsu6Lvi6A,,,,,,
Daddy Yankee,Grito Mundial,,,"soccer, FIFA 2010",Puerto Rico,http://www.youtube.com/watch?v=GMU6uyy7lIk&feature=PlayList&p=433C23C51110B5C2&playnext=1&index=3,,,,,,
Daddy Yankee,La Despedida,antes que + subjunctive; future; preterite,,,Puerto Rico,http://www.youtube.com/watch?v=DWBjvNIJagg&feature=player_embedded,,,,,,
Daddy Yankee,La Despedida,,,good video for storytelling,Puerto Rico,https://www.youtube.com/watch?feature=player_embedded&v=DWBjvNIJagg,,,,,,
Daddy Yankee,Lovumba,,que bien te ves,Love + Rumba,Puerto Rico,http://www.youtube.com/watch?v=kaApxWZh9rY,,,,,,
Daddy Yankee,Que tengo que hacer,tener que,,,Puerto Rico,http://www.youtube.com/watch?v=uHgnebZ_jYo,,,,,,
Dakaneh y Lion Sitté,La llamada,gerunds,,unequality,Ecuatorial Guinea/ Spain,http://www.youtube.com/watch?v=aooe4jrqmXk&feature=player_embedded,,,,,,
"Dalí, Salvador ",Three Paintings; original music Nick Hutson,,,,Spain,http://www.youtube.com/watch?v=h5aCOJIu1_w,,,,,,
"Dalí, Salvador and Disney, Walt",Destino,,,animated film 1946,Spain/U.S.,http://www.youtube.com/watch?feature=player_embedded&v=1GFkN4deuZU,,,,,,
"Dali, Salvador y Disney, Walt",Destino,,,collaboration between Dali y Disney,"Spain, U.S.",http://www.youtube.com/watch?feature=player_embedded&v=1GFkN4deuZU,,,,,,
"Dalma, Sergio",El Mundo  ,present perfect; future,gira/ mundo,,Spain,http://www.youtube.com/watch?v=ZyqAdUQacnc&ob=av2e,,,,,,
"Dann, Georgie",La Barbacoa,,food:  lots!,video from 1994,France,http://www.youtube.com/watch?v=NKmJLKgzXhM&feature=youtube_gdata_player,,,,,,
Dayiro,Chu Chu Ua,,parts of the body,children's video; resembles the Hokey pokey in action,Perú,http://www.youtube.com/watch?feature=player_embedded&v=LNBuDS-E_co,,,,,,
Dayz & Demikeli con Mane De La Parra ,Yo solo quiero saber,,,,México,https://www.youtube.com/watch?v=o4y3kX6yhQQ,,,,,,
Delafé y las flores ,La Primavera,present perfect,spring in Barcelona,,Spain,http://vimeo.com/34223167#at=0,,,,,,
Delafé y las flores azules,Espíritu Santo,"present participle, preterite poner",,cultural references,Spain,http://www.youtube.com/watch?v=-xQz3w2JMNw&feature=mfu_in_order&list=UL,,,,,,
Delafe y las flores azulesEspiritu Santo,,,,,Spain,http://www.youtube.com/watch?v=m3oK4vwSfyo&ob=av3e,,,,,,
"Demarco, Diego",Estrella fugaz,present subjunctive,"lograr, fuerzas, mentir",,Argentina,https://www.youtube.com/watch?v=bYXuM2Stibs,,,,,,
Depedro,Llorona,,,la llorona legend,España,http://www.youtube.com/watch?v=ynec-93Prz4,,,,,,
Depedro,Nubes de papel,,,,España,http://www.youtube.com/watch?v=HbJ0rFyjrKo,,,,,,
Depedro,Tu mediodía,conditional,,,España,http://www.youtube.com/watch?v=tSnd879jctk,,,,,,
Despistaos,Gracias,preterite,"gracias, aprender, tener",,Spain,http://www.youtube.com/watch?v=gynCKCo5VEk,,,,,,
"Dhu, Duncan",No puedo evitar,,,,Spain,http://www.youtube.com/watch?v=OPO2-6iHh4k,,,,,,
"di Marco, Mauro con Perroni, Maite",A Partir de Hoy,,a partir de hoy,,"España/Italia , México",http://www.youtube.com/watch?v=l1Dr9VPobfU,,,,,,
Día de la Tierra,Día de la Tierra,,,Earth Day; also use with the nature/animal chapter,,http://www.youtube.com/watch?v=on5MzLV2nPc&feature=player_embedded,,,,,,
Día de la Tierra,Día Mundial de la Tierra,,,"ecology, save the earth",,http://www.youtube.com/watch?v=on5MzLV2nPc&feature=player_embedded,,,,,,
Día de la Tierra,Medio ambiente y desarrollo,,,"ecology, save the earth",,http://www.youtube.com/watch?v=822Tsa5wtHo&feature=player_embedded#at=25,,,,,,
Día de la Tierra 2011,Día de la Tierra 2011,,,Earth Day,Argentina,http://www.youtube.com/watch?v=hmDVAJTWwkE,,,,,,
Día de la Tierra 2011,La Hora del Planeta 2011,,,,Argentina,http://www.youtube.com/watch?v=uax3M-FYeIU&feature=related,,,,,,
Día de los muertos,Canción  las calaveras,,,children's song ,México,http://www.youtube.com/watch?v=ZpqoO7LkgF0&feature=player_embedded#!,,,,,,
Día de los muertos,Día de los muertos TVA,,,,México,http://www.youtube.com/watch?v=iDYlsMIbcEs&feature=player_embedded,,,,,,
Día de los Muertos,Día de muertos TVA,,,,México,http://www.youtube.com/watch?v=nYHsi1beaZM&feature=player_embedded#!,,,,,,
Día de los muertos,Día de muertos TVA ad,,,promo ad,México,http://www.youtube.com/watch?v=nYHsi1beaZM&feature=player_embedded,,,,,,
Día de los Muertos,Esto es Halloween,,,,Spain,http://www.youtube.com/watch?feature=player_embedded&v=hxqUttBStg0,,,,,,
Día de los Muertos,La Canción de las brujas,,,,,http://www.youtube.com/watch?feature=player_embedded&v=l3r5WLw2uzA,,,,,,
Día de los muertos,La canción de los esqueletos,,,audio with activity like powerpoint,,http://crdp.ac-bordeaux.fr/cddp47/langues/ejercicios/exercicesjclic/index.htm,,,,,,
Día de los Muertos,Los esqueletos,,,another version,,http://www.youtube.com/watch?feature=player_embedded&v=CYyRibaMQoA,,,,,,
Día de los Muertos,"Tumbas, Tumbas, Tumbas",,,another version of los esqueletos,,http://www.youtube.com/watch?feature=player_embedded&v=y3CfcBIFFtU,,,,,,
Dia de los muertos Voltaire,Dia de los muertos,,,Dia de los muertos,México,http://www.youtube.com/watch?feature=player_embedded&v=fh2hSyDcYlo#!,,,,,,
"Día de los muertos, Café Tacuba",La Muerte Chiquita,,,,México/U.S.,http://www.youtube.com/watch?v=7fTySU0FxNA&feature=player_embedded,,,,,,
"Día de los muertos, Eugenia León",La Llorona,,,animated video,,http://www.youtube.com/watch?v=9E7wgUTKM0c&feature=player_embedded#!,,,,,,
"Día de los muertos, Los Fabulosos Cadillacs",Calaveras y Diabolitos,,,,Argentina,http://www.dailymotion.com/video/k2h72QqI3KgHNRfzAh?start=1#from=embed,,,,,,
"Día de los muertos, unknown artist",La Muerte Chiquita,,,Día de los muertos,,http://www.youtube.com/watch?v=7fTySU0FxNA&feature=player_embedded#!,,,,,,
"Día de los muertos, Voltaire",¡Viva Calaca!,,,in English,"Cuba, U.S.",http://www.youtube.com/watch?v=ek3p8F-es7c&feature=player_embedded#!,,,,,,
"Día de los muertos, Voltaire",¡Viva Calaca!,,,in Spanish,"Cuba, U.S.",http://www.youtube.com/watch?v=fh2hSyDcYlo&feature=player_embedded,,,,,,
Día de los Muertos/Ozomatlí,Cumbia de los muertos,,,,U.S./Mexico,http://www.youtube.com/watch?feature=player_embedded&v=d6w7UsPSbgk,,,,,,
"Dibós, Diego",Cerca,quiero ser,cerca de,video questionable for high school,Perú,http://www.youtube.com/watch?v=5d82pIAkSPg,,,,,,
"Dibós, Diego",Si tú te vas ,gerunds,,,Perú,http://www.youtube.com/watch?v=YkDbreIh8N0&feature=related,,,,,,
Diego,Ay Amor,,,,Colombia,https://www.youtube.com/watch?v=C0HY5ywfKw8,,,,,,
Diego,"Ay, amor!",preterite/imperfect; future,,,Colombia,https://www.youtube.com/watch?feature=player_embedded&v=C0HY5ywfKw8,,,,,,
Disney,Bajo del mar,,,Little Mermaid,,http://www.youtube.com/watch?v=krueOmpVCAo&feature=related,,,,,,
